Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2019 [YR2019]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,33753499,37769499
"Population, total",SP.POP.TOTL,Albania,ALB,2880703,2854191
"Population, total",SP.POP.TOTL,Algeria,DZA,39543154,42705368
"Population, total",SP.POP.TOTL,American Samoa,ASM,51368,47321
"Population, total",SP.POP.TOTL,Andorra,AND,71746,76343
"Population, total",SP.POP.TOTL,Angola,AGO,28127721,32353588
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,89941,92117
"Population, total",SP.POP.TOTL,Argentina,ARG,43131966,44938712
"Population, total",SP.POP.TOTL,Armenia,ARM,2878595,2820602
"Population, total",SP.POP.TOTL,Aruba,ABW,104257,106442
"Population, total",SP.POP.TOTL,Australia,AUS,23815995,25334826
"Population, total",SP.POP.TOTL,Austria,AUT,8642699,8879920
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9649341,10024283
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,392697,404557
"Population, total",SP.POP.TOTL,Bahrain,BHR,1362142,1494188
"Population, total",SP.POP.TOTL,Bangladesh,BGD,157830000,165516222
"Population, total",SP.POP.TOTL,Barbados,BRB,278083,280180
"Population, total",SP.POP.TOTL,Belarus,BLR,9461076,9419758
"Population, total",SP.POP.TOTL,Belgium,BEL,11274196,11488980
"Population, total",SP.POP.TOTL,Belize,BLZ,359871,389095
"Population, total",SP.POP.TOTL,Benin,BEN,10932783,12290444
"Population, total",SP.POP.TOTL,Bermuda,BMU,65237,63911
"Population, total",SP.POP.TOTL,Bhutan,BTN,743274,767459
"Population, total",SP.POP.TOTL,Bolivia,BOL,11090085,11777315
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3524324,3360711
"Population, total",SP.POP.TOTL,Botswana,BWA,2305171,2499702
"Population, total",SP.POP.TOTL,Brazil,BRA,205188205,211782878
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,29366,30610
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,421437,438048
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7177991,6975761
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,18718019,20951639
"Population, total",SP.POP.TOTL,Burundi,BDI,10727148,11874838
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,552166,577030
"Population, total",SP.POP.TOTL,Cambodia,KHM,15417523,16207746
"Population, total",SP.POP.TOTL,Cameroon,CMR,23012646,25782341
"Population, total",SP.POP.TOTL,Canada,CAN,35704498,37618495
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,60911,66134
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4819333,5209324
"Population, total",SP.POP.TOTL,Chad,TCD,14140274,16126866
"Population, total",SP.POP.TOTL,Channel Islands,CHI,162190,169410
"Population, total",SP.POP.TOTL,Chile,CHL,17870124,19039485
"Population, total",SP.POP.TOTL,China,CHN,1379860000,1407745000
"Population, total",SP.POP.TOTL,Colombia,COL,47119728,50187406
"Population, total",SP.POP.TOTL,Comoros,COM,730216,790986
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,78656904,89906890
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,5064386,5570733
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4895242,5084532
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,23596741,26147551
"Population, total",SP.POP.TOTL,Croatia,HRV,4203604,4065253
"Population, total",SP.POP.TOTL,Cuba,CUB,11339894,11316697
"Population, total",SP.POP.TOTL,Curacao,CUW,157980,157441
"Population, total",SP.POP.TOTL,Cyprus,CYP,1187280,1228836
"Population, total",SP.POP.TOTL,Czechia,CZE,10546059,10671870
"Population, total",SP.POP.TOTL,Denmark,DNK,5683483,5814422
"Population, total",SP.POP.TOTL,Djibouti,DJI,1006259,1073994
"Population, total",SP.POP.TOTL,Dominica,DMA,70007,71428
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10405832,10881882
"Population, total",SP.POP.TOTL,Ecuador,ECU,16195902,17343740
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,97723799,105618671
"Population, total",SP.POP.TOTL,El Salvador,SLV,6231066,6280217
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1346973,1553031
"Population, total",SP.POP.TOTL,Eritrea,ERI,3340006,3498818
"Population, total",SP.POP.TOTL,Estonia,EST,1315407,1326898
"Population, total",SP.POP.TOTL,Ethiopia,ETH,102471895,114120594
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,48816,51681
"Population, total",SP.POP.TOTL,Fiji,FJI,917200,918465
"Population, total",SP.POP.TOTL,Finland,FIN,5479531,5521606
"Population, total",SP.POP.TOTL,France,FRA,66548272,67388001
"Population, total",SP.POP.TOTL,French Polynesia,PYF,291787,299717
"Population, total",SP.POP.TOTL,Gabon,GAB,2028517,2242785
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2253133,2508883
"Population, total",SP.POP.TOTL,Georgia,GEO,3725276,3720161
"Population, total",SP.POP.TOTL,Germany,DEU,81686611,83092962
"Population, total",SP.POP.TOTL,Ghana,GHA,28870939,31522290
"Population, total",SP.POP.TOTL,Gibraltar,GIB,32520,32685
"Population, total",SP.POP.TOTL,Greece,GRC,10820883,10721582
"Population, total",SP.POP.TOTL,Greenland,GRL,56114,56225
"Population, total",SP.POP.TOTL,Grenada,GRD,118980,122724
"Population, total",SP.POP.TOTL,Guam,GUM,167978,168624
"Population, total",SP.POP.TOTL,Guatemala,GTM,15567419,16604026
"Population, total",SP.POP.TOTL,Guinea,GIN,11625998,12877539
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1788919,1970457
"Population, total",SP.POP.TOTL,Guyana,GUY,755031,798753
"Population, total",SP.POP.TOTL,Haiti,HTI,10563757,11160438
"Population, total",SP.POP.TOTL,Honduras,HND,9294505,9958829
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7291300,7507900
"Population, total",SP.POP.TOTL,Hungary,HUN,9843028,9771141
"Population, total",SP.POP.TOTL,Iceland,ISL,330815,360563
"Population, total",SP.POP.TOTL,India,IND,1322866505,1383112050
"Population, total",SP.POP.TOTL,Indonesia,IDN,259091970,269582878
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,81790841,86564202
"Population, total",SP.POP.TOTL,Iraq,IRQ,37757813,41563520
"Population, total",SP.POP.TOTL,Ireland,IRL,4701957,4934340
"Population, total",SP.POP.TOTL,Isle of Man,IMN,83593,83933
"Population, total",SP.POP.TOTL,Israel,ISR,8380100,9054000
"Population, total",SP.POP.TOTL,Italy,ITA,60730582,59729081
"Population, total",SP.POP.TOTL,Jamaica,JAM,2794445,2813773
"Population, total",SP.POP.TOTL,Japan,JPN,127141000,126633000
"Population, total",SP.POP.TOTL,Jordan,JOR,9494246,10698683
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,17542806,18513673
"Population, total",SP.POP.TOTL,Kenya,KEN,46851488,50951450
"Population, total",SP.POP.TOTL,Kiribati,KIR,116707,124241
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,25258015,25755441
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,51014947,51764822
"Population, total",SP.POP.TOTL,Kosovo,XKX,1788196,1788878
"Population, total",SP.POP.TOTL,Kuwait,KWT,3908743,4441100
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,5956900,6456200
"Population, total",SP.POP.TOTL,Lao PDR,LAO,6787419,7212053
"Population, total",SP.POP.TOTL,Latvia,LVA,1977527,1913822
"Population, total",SP.POP.TOTL,Lebanon,LBN,6398940,5781907
"Population, total",SP.POP.TOTL,Lesotho,LSO,2118521,2225702
"Population, total",SP.POP.TOTL,Liberia,LBR,4612329,4985289
"Population, total",SP.POP.TOTL,Libya,LBY,6192235,6569088
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,37355,38482
"Population, total",SP.POP.TOTL,Lithuania,LTU,2904910,2794137
"Population, total",SP.POP.TOTL,Luxembourg,LUX,569604,620001
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,615239,663653
"Population, total",SP.POP.TOTL,North Macedonia,MKD,1912430,1876262
"Population, total",SP.POP.TOTL,Madagascar,MDG,24850912,27533134
"Population, total",SP.POP.TOTL,Malawi,MWI,16938942,18867337
"Population, total",SP.POP.TOTL,Malaysia,MYS,31068833,32804020
"Population, total",SP.POP.TOTL,Maldives,MDV,435582,504508
"Population, total",SP.POP.TOTL,Mali,MLI,18112907,20567424
"Population, total",SP.POP.TOTL,Malta,MLT,445053,504062
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,49410,44728
"Population, total",SP.POP.TOTL,Mauritania,MRT,3946220,4383849
"Population, total",SP.POP.TOTL,Mauritius,MUS,1262879,1265985
"Population, total",SP.POP.TOTL,Mexico,MEX,120149897,125085311
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,109462,111379
"Population, total",SP.POP.TOTL,Moldova,MDA,2835978,2664224
"Population, total",SP.POP.TOTL,Monaco,MCO,36760,37034
"Population, total",SP.POP.TOTL,Mongolia,MNG,2964749,3232430
"Population, total",SP.POP.TOTL,Montenegro,MNE,622159,622028
"Population, total",SP.POP.TOTL,Morocco,MAR,34680458,36304408
"Population, total",SP.POP.TOTL,Mozambique,MOZ,26843246,30285595
"Population, total",SP.POP.TOTL,Myanmar,MMR,51483949,53040212
"Population, total",SP.POP.TOTL,Namibia,NAM,2282704,2446644
"Population, total",SP.POP.TOTL,Nauru,NRU,11185,12132
"Population, total",SP.POP.TOTL,Nepal,NPL,27610325,28832496
"Population, total",SP.POP.TOTL,Netherlands,NLD,16939923,17344874
"Population, total",SP.POP.TOTL,New Caledonia,NCL,269460,271240
"Population, total",SP.POP.TOTL,New Zealand,NZL,4609400,4979200
"Population, total",SP.POP.TOTL,Nicaragua,NIC,6298598,6663924
"Population, total",SP.POP.TOTL,Niger,NER,20128124,23443393
"Population, total",SP.POP.TOTL,Nigeria,NGA,183995785,203304492
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,51514,49858
"Population, total",SP.POP.TOTL,Norway,NOR,5188607,5347896
"Population, total",SP.POP.TOTL,Oman,OMN,4191776,4602768
"Population, total",SP.POP.TOTL,Pakistan,PAK,210969298,223293280
"Population, total",SP.POP.TOTL,Palau,PLW,17794,17916
"Population, total",SP.POP.TOTL,Panama,PAN,3957099,4232532
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,8682174,9542486
"Population, total",SP.POP.TOTL,Paraguay,PRY,6177950,6530026
"Population, total",SP.POP.TOTL,Peru,PER,30711863,32824861
"Population, total",SP.POP.TOTL,Philippines,PHL,103031365,110380804
"Population, total",SP.POP.TOTL,Poland,POL,37986412,37965475
"Population, total",SP.POP.TOTL,Portugal,PRT,10358076,10286263
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3473232,3193694
"Population, total",SP.POP.TOTL,Qatar,QAT,2414573,2807235
"Population, total",SP.POP.TOTL,Romania,ROU,19815616,19371648
"Population, total",SP.POP.TOTL,Russian Federation,RUS,144640716,145453291
"Population, total",SP.POP.TOTL,Rwanda,RWA,11642959,12835028
"Population, total",SP.POP.TOTL,Samoa,WSM,203571,211905
"Population, total",SP.POP.TOTL,San Marino,SMR,33570,34178
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,201124,214599
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,32749848,35827362
"Population, total",SP.POP.TOTL,Senegal,SEN,14356181,16000781
"Population, total",SP.POP.TOTL,Serbia,SRB,7095383,6945235
"Population, total",SP.POP.TOTL,Seychelles,SYC,93419,97625
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,7314773,8046828
"Population, total",SP.POP.TOTL,Singapore,SGP,5535002,5703569
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,38825,39648
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5423801,5454147
"Population, total",SP.POP.TOTL,Slovenia,SVN,2063531,2088385
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,612660,674993
"Population, total",SP.POP.TOTL,Somalia,SOM,13763906,15981300
"Population, total",SP.POP.TOTL,South Africa,ZAF,55876504,58087055
"Population, total",SP.POP.TOTL,South Sudan,SSD,11194299,10447666
"Population, total",SP.POP.TOTL,Spain,ESP,46444832,47134837
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,21336697,21803000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,47790,47712
"Population, total",SP.POP.TOTL,St. Lucia,LCA,175623,178583
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,35020,33121
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,106482,104924
"Population, total",SP.POP.TOTL,Sudan,SDN,38171178,43232093
"Population, total",SP.POP.TOTL,Suriname,SUR,575475,600301
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1133936,1169613
"Population, total",SP.POP.TOTL,Sweden,SWE,9799186,10278887
"Population, total",SP.POP.TOTL,Switzerland,CHE,8282396,8575280
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,19205178,20098251
"Population, total",SP.POP.TOTL,Tajikistan,TJK,8524063,9337003
"Population, total",SP.POP.TOTL,Tanzania,TZA,52542823,59872579
"Population, total",SP.POP.TOTL,Thailand,THA,70294397,71307763
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1205813,1280438
"Population, total",SP.POP.TOTL,Togo,TGO,7473229,8243094
"Population, total",SP.POP.TOTL,Tonga,TON,106122,104951
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1460177,1519955
"Population, total",SP.POP.TOTL,Tunisia,TUN,11557779,12049314
"Population, total",SP.POP.TOTL,Turkiye,TUR,78218479,82579440
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,5766431,6158420
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,36538,43080
"Population, total",SP.POP.TOTL,Tuvalu,TUV,10877,10956
"Population, total",SP.POP.TOTL,Uganda,UGA,37477356,42949080
"Population, total",SP.POP.TOTL,Ukraine,UKR,45167350,44474512
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,8916899,9211657
"Population, total",SP.POP.TOTL,United Kingdom,GBR,65116219,66836327
"Population, total",SP.POP.TOTL,United States,USA,320738994,328329953
"Population, total",SP.POP.TOTL,Uruguay,URY,3402818,3428409
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,31298900,33580350
"Population, total",SP.POP.TOTL,Vanuatu,VUT,276438,304404
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,30529716,28971683
"Population, total",SP.POP.TOTL,Viet Nam,VNM,92191398,95776716
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,107712,106669
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,4270092,4685306
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,28516545,31546691
"Population, total",SP.POP.TOTL,Zambia,ZMB,16248230,18380477
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,14154937,15354608
Population growth (annual %),SP.POP.GROW,Afghanistan,AFG,3.12134122890873,2.90852909268743
Population growth (annual %),SP.POP.GROW,Albania,ALB,-0.291205786840436,-0.426007367032238
Population growth (annual %),SP.POP.GROW,Algeria,DZA,1.99994605069585,1.83944488568624
Population growth (annual %),SP.POP.GROW,American Samoa,ASM,-1.63927018758043,-2.30413869890523
Population growth (annual %),SP.POP.GROW,Andorra,AND,0.174377690367456,1.75749125736997
Population growth (annual %),SP.POP.GROW,Angola,AGO,3.61767751762095,3.39527779197097
Population growth (annual %),SP.POP.GROW,Antigua and Barbuda,ATG,0.786935419380774,0.534443400511753
Population growth (annual %),SP.POP.GROW,Argentina,ARG,1.07800134449604,0.993397493293046
Population growth (annual %),SP.POP.GROW,Armenia,ARM,-0.392995248824912,-0.564065542556681
Population growth (annual %),SP.POP.GROW,Aruba,ABW,0.63795916173479,0.451969658863314
Population growth (annual %),SP.POP.GROW,Australia,AUS,1.43921665259925,1.47749071058438
Population growth (annual %),SP.POP.GROW,Austria,AUT,1.12099250236958,0.444673639004876
Population growth (annual %),SP.POP.GROW,Azerbaijan,AZE,1.19120985807018,0.846646726414021
Population growth (annual %),SP.POP.GROW,"Bahamas, The",BHS,0.912227428271637,0.657441084996389
Population growth (annual %),SP.POP.GROW,Bahrain,BHR,3.81660491261165,0.459362584678761
Population growth (annual %),SP.POP.GROW,Bangladesh,BGD,1.19106112723824,1.1131724900167
Population growth (annual %),SP.POP.GROW,Barbados,BRB,0.212392263810218,0.175755759089405
Population growth (annual %),SP.POP.GROW,Belarus,BLR,0.132853236725342,-0.201786600970723
Population growth (annual %),SP.POP.GROW,Belgium,BEL,0.579446241677791,0.540461327098122
Population growth (annual %),SP.POP.GROW,Belize,BLZ,2.11632063401839,1.82301611890652
Population growth (annual %),SP.POP.GROW,Benin,BEN,2.95124912266827,2.88707408493347
Population growth (annual %),SP.POP.GROW,Bermuda,BMU,0.151869636092964,-0.0109521313739413
Population growth (annual %),SP.POP.GROW,Bhutan,BTN,0.934969649654716,0.701252583573764
Population growth (annual %),SP.POP.GROW,Bolivia,BOL,1.5731449401483,1.45750439141779
Population growth (annual %),SP.POP.GROW,Bosnia and Herzegovina,BIH,-1.31760658922995,-1.16608133465016
Population growth (annual %),SP.POP.GROW,Botswana,BWA,1.96236891205249,1.95085634796209
Population growth (annual %),SP.POP.GROW,Brazil,BRA,0.845992601345206,0.766107802084815
Population growth (annual %),SP.POP.GROW,British Virgin Islands,VGB,1.35422128878554,0.902459156305993
Population growth (annual %),SP.POP.GROW,Brunei Darussalam,BRN,1.14093587780034,0.865282211615446
Population growth (annual %),SP.POP.GROW,Bulgaria,BGR,-0.638069468160719,-0.703905641117455
Population growth (annual %),SP.POP.GROW,Burkina Faso,BFA,2.97234560821631,2.70387556725288
Population growth (annual %),SP.POP.GROW,Burundi,BDI,2.18870609045616,3.26424857025887
Population growth (annual %),SP.POP.GROW,Cabo Verde,CPV,1.1090565508692,1.01513458042928
Population growth (annual %),SP.POP.GROW,Cambodia,KHM,1.34979002036239,1.13244216195679
Population growth (annual %),SP.POP.GROW,Cameroon,CMR,3.14758224896897,2.7748797807221
Population growth (annual %),SP.POP.GROW,Canada,CAN,0.760300145238936,1.46171259938134
Population growth (annual %),SP.POP.GROW,Cayman Islands,CYM,2.24463644959813,1.90819265891466
Population growth (annual %),SP.POP.GROW,Central African Republic,CAF,0.428340361843656,2.22336107125156
Population growth (annual %),SP.POP.GROW,Chad,TCD,3.18410081276683,3.29458272753979
Population growth (annual %),SP.POP.GROW,Channel Islands,CHI,0.791085579747361,1.27783031331199
Population growth (annual %),SP.POP.GROW,Chile,CHL,1.02942555374852,1.7913919716665
Population growth (annual %),SP.POP.GROW,China,CHN,0.581456146657648,0.354740890170827
Population growth (annual %),SP.POP.GROW,Colombia,COL,0.941994067106625,1.83074694246543
Population growth (annual %),SP.POP.GROW,Comoros,COM,2.16006427268952,1.87244791212477
Population growth (annual %),SP.POP.GROW,"Congo, Dem. Rep.",COD,3.38939131180859,3.18628838899818
Population growth (annual %),SP.POP.GROW,"Congo, Rep.",COG,2.38840507871515,2.355238072353
Population growth (annual %),SP.POP.GROW,Costa Rica,CRI,1.04634340433544,0.865128346659953
Population growth (annual %),SP.POP.GROW,Cote d'Ivoire,CIV,2.58076728931826,2.53128744560298
Population growth (annual %),SP.POP.GROW,Croatia,HRV,-0.824099163913538,-0.554146739042888
Population growth (annual %),SP.POP.GROW,Cuba,CUB,0.069407446002465,-0.101983052203958
Population growth (annual %),SP.POP.GROW,Curacao,CUW,1.31959390251523,-1.19643951751799
Population growth (annual %),SP.POP.GROW,Cyprus,CYP,0.870039642466962,0.817517719721429
Population growth (annual %),SP.POP.GROW,Czechia,CZE,0.196588748472653,0.393788864202175
Population growth (annual %),SP.POP.GROW,Denmark,DNK,0.706423849687002,0.358130915892652
Population growth (annual %),SP.POP.GROW,Djibouti,DJI,1.72124773942831,1.57623975223144
Population growth (annual %),SP.POP.GROW,Dominica,DMA,0.912632430301816,0.850614263332306
Population growth (annual %),SP.POP.GROW,Dominican Republic,DOM,1.1960440040584,1.07497482890671
Population growth (annual %),SP.POP.GROW,Ecuador,ECU,1.47983523757956,1.90968326333656
Population growth (annual %),SP.POP.GROW,"Egypt, Arab Rep.",EGY,2.20525980686911,1.79400212546566
Population growth (annual %),SP.POP.GROW,El Salvador,SLV,0.346286117647337,0.0617207329334854
Population growth (annual %),SP.POP.GROW,Equatorial Guinea,GNQ,3.92078547747936,3.33503679402461
Population growth (annual %),SP.POP.GROW,Eritrea,ERI,0.49767257206961,1.53927354632927
Population growth (annual %),SP.POP.GROW,Estonia,EST,0.0655525295417938,0.371554389037477
Population growth (annual %),SP.POP.GROW,Ethiopia,ETH,2.69539316663887,2.656010133459
Population growth (annual %),SP.POP.GROW,Faroe Islands,FRO,0.721624002974263,1.41473188516849
Population growth (annual %),SP.POP.GROW,Fiji,FJI,0.178965105930181,-0.0577971466911964
Population growth (annual %),SP.POP.GROW,Finland,FIN,0.329383885818507,0.110191690491055
Population growth (annual %),SP.POP.GROW,France,FRA,0.355569240058298,0.341374143157509
Population growth (annual %),SP.POP.GROW,French Polynesia,PYF,0.65811880076494,0.706823205794027
Population growth (annual %),SP.POP.GROW,Gabon,GAB,3.08691638355563,2.28985536531904
Population growth (annual %),SP.POP.GROW,"Gambia, The",GMB,2.88681938435009,2.58268676641821
Population growth (annual %),SP.POP.GROW,Georgia,GEO,0.157481405176007,-0.171565740223868
Population growth (annual %),SP.POP.GROW,Germany,DEU,0.865702643950251,0.22551987421288
Population growth (annual %),SP.POP.GROW,Ghana,GHA,2.36426975910316,2.08893118401294
Population growth (annual %),SP.POP.GROW,Gibraltar,GIB,0.209321014679146,0.113265896118834
Population growth (annual %),SP.POP.GROW,Greece,GRC,-0.658861360878339,-0.105339392724138
Population growth (annual %),SP.POP.GROW,Greenland,GRL,-0.322038549275343,0.359917714454119
Population growth (annual %),SP.POP.GROW,Grenada,GRD,0.850810358697201,0.724563813014991
Population growth (annual %),SP.POP.GROW,Guam,GUM,0.259298371028445,-0.0320187846270383
Population growth (annual %),SP.POP.GROW,Guatemala,GTM,1.69146509302391,1.56038604781094
Population growth (annual %),SP.POP.GROW,Guinea,GIN,2.54927671891363,2.5376470778001
Population growth (annual %),SP.POP.GROW,Guinea-Bissau,GNB,2.58264954343545,2.33629046990663
Population growth (annual %),SP.POP.GROW,Guyana,GUY,0.52000388065714,1.67134809737405
Population growth (annual %),SP.POP.GROW,Haiti,HTI,1.43989350727897,1.33513859245585
Population growth (annual %),SP.POP.GROW,Honduras,HND,1.8093624065659,1.68069668453135
Population growth (annual %),SP.POP.GROW,"Hong Kong SAR, China",HKG,0.851197911086988,0.739283471323064
Population growth (annual %),SP.POP.GROW,Hungary,HUN,-0.237855001984657,-0.0452557101106228
Population growth (annual %),SP.POP.GROW,Iceland,ISL,1.04194038662969,2.19893225826166
Population growth (annual %),SP.POP.GROW,India,IND,1.18779532005068,1.02531077187097
Population growth (annual %),SP.POP.GROW,Indonesia,IDN,1.1108549322781,0.937689273635294
Population growth (annual %),SP.POP.GROW,"Iran, Islamic Rep.",IRN,2.26178492558276,1.0995932626289
Population growth (annual %),SP.POP.GROW,Iraq,IRQ,2.71497647013538,2.36838831392184
Population growth (annual %),SP.POP.GROW,Ireland,IRL,0.944845307474728,1.36762695363797
Population growth (annual %),SP.POP.GROW,Isle of Man,IMN,-0.361815200458878,0.188422790499936
Population growth (annual %),SP.POP.GROW,Israel,ISR,1.98128897562083,1.90898263957994
Population growth (annual %),SP.POP.GROW,Italy,ITA,-0.0963761331392095,-1.15302842389952
Population growth (annual %),SP.POP.GROW,Jamaica,JAM,0.354975145947794,0.0688992221522009
Population growth (annual %),SP.POP.GROW,Japan,JPN,-0.106124993746747,-0.140464977878172
Population growth (annual %),SP.POP.GROW,Jordan,JOR,9.21991788769051,2.25750975365016
Population growth (annual %),SP.POP.GROW,Kazakhstan,KAZ,1.46148468519161,1.28960848954226
Population growth (annual %),SP.POP.GROW,Kenya,KEN,2.20032211952888,1.97845694844255
Population growth (annual %),SP.POP.GROW,Kiribati,KIR,1.48648352823644,1.60651238884126
Population growth (annual %),SP.POP.GROW,"Korea, Dem. People's Rep.",PRK,0.523515080357903,0.456446820087896
Population growth (annual %),SP.POP.GROW,"Korea, Rep.",KOR,0.527288497407793,0.347874968577526
Population growth (annual %),SP.POP.GROW,Kosovo,XKX,-1.3649323381159,-0.457730006092952
Population growth (annual %),SP.POP.GROW,Kuwait,KWT,3.83756936489801,2.82985240186539
Population growth (annual %),SP.POP.GROW,Kyrgyz Republic,KGZ,2.05902596620676,2.08787614010317
Population growth (annual %),SP.POP.GROW,Lao PDR,LAO,1.42395616494124,1.49540481526456
Population growth (annual %),SP.POP.GROW,Latvia,LVA,-0.818626340945853,-0.695239140136066
Population growth (annual %),SP.POP.GROW,Lebanon,LBN,1.96637326864653,-2.87986589552119
Population growth (annual %),SP.POP.GROW,Lesotho,LSO,1.10491438799432,1.25167812193172
Population growth (annual %),SP.POP.GROW,Liberia,LBR,2.03541363752766,1.94236198013985
Population growth (annual %),SP.POP.GROW,Libya,LBY,1.53739411600028,1.39951441440416
Population growth (annual %),SP.POP.GROW,Liechtenstein,LIE,0.695762433860479,0.78525898208049
Population growth (annual %),SP.POP.GROW,Lithuania,LTU,-0.940753796646208,-0.264704354944785
Population growth (annual %),SP.POP.GROW,Luxembourg,LUX,2.35995118136865,1.9628449198635
Population growth (annual %),SP.POP.GROW,"Macao SAR, China",MAC,1.81601604156179,1.92636052888412
Population growth (annual %),SP.POP.GROW,North Macedonia,MKD,-0.267729528193655,-0.679308688552216
Population growth (annual %),SP.POP.GROW,Madagascar,MDG,2.58818714317603,2.52531662828285
Population growth (annual %),SP.POP.GROW,Malawi,MWI,2.75911370133102,2.68285756018368
Population growth (annual %),SP.POP.GROW,Malaysia,MYS,1.49940972361564,1.24151463105699
Population growth (annual %),SP.POP.GROW,Maldives,MDV,4.42253409157761,2.96723053964137
Population growth (annual %),SP.POP.GROW,Mali,MLI,3.14674716699948,3.12666991376831
Population growth (annual %),SP.POP.GROW,Malta,MLT,2.38639536345808,3.93135631850717
Population growth (annual %),SP.POP.GROW,Marshall Islands,MHL,-2.0215255305986,-2.78025337337267
Population growth (annual %),SP.POP.GROW,Mauritania,MRT,2.64595710222511,2.6146547551014
Population growth (annual %),SP.POP.GROW,Mauritius,MUS,0.132404330287967,0.0322330642925213
Population growth (annual %),SP.POP.GROW,Mexico,MEX,1.16700884975484,0.860265089734684
Population growth (annual %),SP.POP.GROW,"Micronesia, Fed. Sts.",FSM,0.400941558500249,0.404844283265269
Population growth (annual %),SP.POP.GROW,Moldova,MDA,-0.767049559673864,-1.60031653578231
Population growth (annual %),SP.POP.GROW,Monaco,MCO,1.78404621981199,0.0135020185722688
Population growth (annual %),SP.POP.GROW,Mongolia,MNG,2.11086627913691,2.13999709629328
Population growth (annual %),SP.POP.GROW,Montenegro,MNE,0.0561107244885728,-0.0319870125812963
Population growth (annual %),SP.POP.GROW,Morocco,MAR,1.25305827289905,1.04358412669917
Population growth (annual %),SP.POP.GROW,Mozambique,MOZ,3.04301971715626,2.88656653514774
Population growth (annual %),SP.POP.GROW,Myanmar,MMR,0.802515042929721,0.70799909760206
Population growth (annual %),SP.POP.GROW,Namibia,NAM,1.75460038083267,1.68846817343864
Population growth (annual %),SP.POP.GROW,Nauru,NRU,2.21477979482578,1.72934140105098
Population growth (annual %),SP.POP.GROW,Nepal,NPL,0.538270619899636,1.13635160669166
